AccountNumber,Amount,Time,Location,DeviceType,TransactionType,PreviousTransactions,AccountAge,TransactionFrequency,Fraud
564556334,394.79,57.53341621104533,ATM,Mobile,Withdrawal,5,3603,20,0.0
263921505,662.2,51.76820872139398,Online,Desktop,Transfer,5,3368,3,0.0
959340569,793.96,60.4492462272776,ATM,Desktop,Transfer,2,308,89,1.0
328521086,644.42,66.4948089432392,Branch,Desktop,Transfer,12,1288,12,0.0
725285523,137.11,38.69796275326076,ATM,Mobile,Deposit,3,3367,31,0.0
433148939,279.9,59.85449685615218,ATM,Mobile,Deposit,7,1325,12,0.0
387992976,46.97,52.01159655872839,Online,Desktop,Withdrawal,6,1093,7,0.0
422296948,175.37,55.731278132412,Branch,Tablet,Transfer,8,3394,26,0.0
505469867,255.25,60.85982116175032,Branch,Tablet,Purchase,3,2350,2,0.0
245880669,804.09,63.245661551640495,Branch,Mobile,Transfer,2,563,82,1.0
651312130,553.25,51.22670315994795,ATM,Mobile,Transfer,10,2775,16,0.0
045857905,899.57,42.71997058770866,ATM,Tablet,Purchase,7,1714,3,0.0
877830457,141.2,62.00531658473872,Online,Tablet,Deposit,3,3084,25,0.0
291521575,300.28,66.12220628255425,Online,Mobile,Transfer,7,3486,34,0.0
103098858,415.24,41.389120898264295,ATM,Mobile,Withdrawal,7,2564,39,0.0
767261261,916.33,60.17661466843502,Online,Desktop,Withdrawal,5,2293,43,0.0
008116591,670.92,54.58386703551484,Branch,Desktop,Transfer,9,163,26,0.0
554252630,468.05,51.01856295261987,ATM,Mobile,Purchase,5,2550,41,0.0
544226395,381.83,59.9831089814796,ATM,Tablet,Transfer,7,2022,32,0.0
976982573,46.3,46.40370327547538,Branch,Mobile,Transfer,7,2857,35,0.0
428559108,671.53,28.694335201927995,Online,Tablet,Withdrawal,4,487,35,0.0
080013142,1474.1,78.19650665872155,Branch,Desktop,Purchase,7,24,64,1.0
082291727,773.2,36.73952313917962,Branch,Desktop,Withdrawal,2,744,42,0.0
300119052,405.32,54.53508712554468,ATM,Mobile,Transfer,6,3537,15,0.0
755227507,524.58,51.814266201139716,Online,Tablet,Purchase,2,801,7,0.0
823359911,853.66,49.707371863150215,Online,Mobile,Withdrawal,7,1301,26,0.0
160668838,427.21,60.51947617722919,ATM,Desktop,Purchase,4,3502,32,0.0
900966222,570.74,43.707366063072115,Branch,Mobile,Transfer,4,1117,32,0.0
123852315,245.24,78.87172884529886,Branch,Desktop,Desposit,2,272,36,1.0
287513665,951.21,40.28385961489349,Branch,Tablet,Deposit,3,2041,18,0.0
913993058,816.32,42.57529414301952,Branch,Tablet,Withdrawal,6,2484,18,0.0
192997117,709.41,64.31366781831184,Online,Desktop,Withdrawal,4,2809,17,0.0
419375004,227.02,51.235476959555825,Branch,Tablet,Purchase,7,1672,17,0.0
568744748,720.42,40.399537047205364,Online,Tablet,Withdrawal,9,3263,3,0.0
411039999,879.73,55.348173363459104,Online,Mobile,Transfer,2,118,18,0.0
941754211,884.95,57.90371896051711,Branch,Desktop,Withdrawal,3,2405,28,0.0
314920293,294.17,45.918991608397796,ATM,Tablet,Transfer,5,1961,12,0.0
569055420,797.23,54.098186569285126,ATM,Tablet,Deposit,7,1663,17,0.0
051448078,527.83,57.18185725707934,Online,Tablet,Deposit,3,432,40,0.0
975399224,175.94,32.14133508065889,Branch,Tablet,Withdrawal,0,707,31,0.0
180072322,635.98,41.96821049319655,ATM,Tablet,Purchase,6,3044,27,0.0
132396940,476.86,46.71381524251015,Branch,Tablet,Withdrawal,7,1201,44,0.0
585507958,525.75,40.372674347153875,Branch,Mobile,Purchase,6,2073,34,0.0
265805598,288.13,48.615440160162265,Branch,Desktop,Deposit,4,1017,34,0.0
640904266,990.6,46.907909229501364,ATM,Tablet,Deposit,4,634,25,0.0
782739012,410.1,62.28980502489062,ATM,Desktop,Purchase,6,3219,35,0.0
944346170,1154.39,19.410007440510526,ATM,Mobile,Desposit,6,79,62,1.0
252101558,457.25,47.41145599630168,Online,Desktop,Withdrawal,9,2144,21,0.0
991539694,867.4,51.429430947637066,Online,Mobile,Withdrawal,6,1619,28,0.0
327668917,544.56,46.57450799142235,Branch,Desktop,Deposit,6,280,11,0.0
135386755,73.57,43.42165446147863,Online,Mobile,Purchase,9,491,19,0.0
519509600,952.29,35.94810153196425,Branch,Tablet,Transfer,4,1062,3,0.0
384852491,872.05,54.08607307701767,Online,Tablet,Transfer,10,2669,19,0.0
258958267,93.27,57.08214423256557,Online,Tablet,Deposit,7,2105,17,0.0
842766692,296.3,24.29844275134498,Online,Tablet,Purchase,5,672,42,1.0
312292263,861.52,37.67476685231491,ATM,Desktop,Transfer,5,804,15,0.0
438494754,699.01,48.796188360464015,ATM,Desktop,Purchase,6,1946,16,0.0
589993887,647.14,65.32367724678116,Online,Desktop,Transfer,5,291,2,0.0
869602241,760.66,43.87763265492249,ATM,Mobile,Purchase,6,1966,42,0.0
855071364,114.61,58.55555659020712,Branch,Mobile,Purchase,10,2492,38,0.0
402051147,300.22,50.85318142565024,Online,Tablet,Deposit,7,3254,6,0.0
787734516,955.32,55.131057981760826,Branch,Tablet,Deposit,5,3044,39,0.0
012439392,97.61,52.407531794885685,Online,Desktop,Transfer,8,744,17,0.0
575881135,395.31,42.91593233089537,Branch,Tablet,Purchase,6,2372,36,0.0
057745403,540.47,61.53900734255747,Branch,Tablet,Deposit,6,3186,19,0.0
650386108,1080.23,27.597556074168487,Branch,Tablet,Withdrawal,1,369,46,1.0
458939370,819.79,50.856871614033594,ATM,Desktop,Purchase,2,3078,23,0.0
190649290,626.74,38.693846650624735,Online,Mobile,Withdrawal,5,666,38,0.0
507118303,463.67,66.12278257988646,ATM,Desktop,Transfer,5,2648,3,0.0
751842261,705.99,48.52397413701331,Online,Desktop,Transfer,5,1052,33,0.0
296469880,558.81,57.38810480887503,Branch,Tablet,Transfer,2,3549,15,0.0
620528515,705.46,43.921780129055676,Branch,Mobile,Withdrawal,4,1320,40,0.0
297582143,501.99,46.04319288243736,Online,Tablet,Transfer,6,641,12,0.0
323530553,827.05,48.90443652476355,ATM,Mobile,Desposit,3,538,61,1.0
708028091,564.04,54.042947549616976,Branch,Desktop,Purchase,5,1453,19,0.0
094299624,491.8,67.5547569831549,Branch,Mobile,Withdrawal,9,225,41,0.0
916406683,823.64,52.87124165201824,Branch,Tablet,Withdrawal,1,956,18,0.0
527799298,971.68,49.66387435296287,Branch,Tablet,Deposit,1,3086,32,0.0
